#Rice_gene_ID_mapping_and_nomenclature
#Column-1: gene_ID
#Column-2: Synonyms, MSU gene and transcript _ID (all separated by semicolon)
#
gene_ID	Synonym_Symbols	Synonyms_MSU_IDs
LOC_Os01g18420	LOC_Os01g18420.1
LOC_Os01g18460	LOC_Os01g18460.1
LOC_Os01g18470	LOC_Os01g18470.1
LOC_Os01g18480	LOC_Os01g18480.1
LOC_Os01g18500	LOC_Os01g18500.1
LOC_Os01g18510	LOC_Os01g18510.1
LOC_Os01g18520	LOC_Os01g18520.1
LOC_Os01g18550	LOC_Os01g18550.1
LOC_Os01g18560	LOC_Os01g18560.1
LOC_Os01g18570	LOC_Os01g18570.1
LOC_Os01g18610	LOC_Os01g18610.1
LOC_Os01g18650	LOC_Os01g18650.1
LOC_Os01g18680	LOC_Os01g18680.1
LOC_Os01g18690	LOC_Os01g18690.1
LOC_Os01g18700	LOC_Os01g18700.1
LOC_Os01g18710	LOC_Os01g18710.1
LOC_Os01g18720	LOC_Os01g18720.1
LOC_Os01g18730	LOC_Os01g18730.1
LOC_Os01g18760	LOC_Os01g18760.1
LOC_Os01g18780	LOC_Os01g18780.1
LOC_Os01g18790	LOC_Os01g18790.1
LOC_Os01g18890	LOC_Os01g18890.1
LOC_Os01g18900	LOC_Os01g18900.1
LOC_Os01g18910	LOC_Os01g18910.1
LOC_Os01g18920	LOC_Os01g18920.1
LOC_Os01g18980	LOC_Os01g18980.1
LOC_Os01g18990	LOC_Os01g18990.1
LOC_Os01g19000	LOC_Os01g19000.1
LOC_Os01g19010	LOC_Os01g19010.1
LOC_Os01g19030	LOC_Os01g19030.1
LOC_Os01g19060	LOC_Os01g19060.1
LOC_Os01g19070	LOC_Os01g19070.1
LOC_Os01g19080	LOC_Os01g19080.1
LOC_Os01g19090	LOC_Os01g19090.1
LOC_Os01g19100	LOC_Os01g19100.1
LOC_Os01g19110	LOC_Os01g19110.1
LOC_Os01g19190	LOC_Os01g19190.1
LOC_Os01g19200	LOC_Os01g19200.1
LOC_Os01g19210	LOC_Os01g19210.1
LOC_Os01g19230	LOC_Os01g19230.1
LOC_Os01g19250	LOC_Os01g19250.1
LOC_Os01g19270	LOC_Os01g19270.1
LOC_Os01g19280	LOC_Os01g19280.1
LOC_Os01g19300	LOC_Os01g19300.1
LOC_Os01g19310	LOC_Os01g19310.1
LOC_Os01g19340	LOC_Os01g19340.1
LOC_Os01g19360	LOC_Os01g19360.1
LOC_Os01g19500	LOC_Os01g19500.1
LOC_Os01g19570	LOC_Os01g19570.1
LOC_Os01g19590	LOC_Os01g19590.1
LOC_Os01g19600	LOC_Os01g19600.1
LOC_Os01g19620	LOC_Os01g19620.1
LOC_Os01g19640	LOC_Os01g19640.1
LOC_Os01g19650	LOC_Os01g19650.1
LOC_Os01g19660	LOC_Os01g19660.1
LOC_Os01g19670	LOC_Os01g19670.1
LOC_Os01g19680	LOC_Os01g19680.1
LOC_Os01g19710	LOC_Os01g19710.1
LOC_Os01g19720	LOC_Os01g19720.1
LOC_Os01g19730	LOC_Os01g19730.1
LOC_Os01g19780	LOC_Os01g19780.1
LOC_Os01g19830	LOC_Os01g19830.1
LOC_Os01g19860	LOC_Os01g19860.1
LOC_Os01g19910	LOC_Os01g19910.1
LOC_Os01g19920	LOC_Os01g19920.1
LOC_Os01g19930	LOC_Os01g19930.1
LOC_Os01g19950	LOC_Os01g19950.1
LOC_Os01g19960	LOC_Os01g19960.1
LOC_Os01g19980	LOC_Os01g19980.1
LOC_Os01g20020	LOC_Os01g20020.1
LOC_Os01g20040	LOC_Os01g20040.1
LOC_Os01g20050	LOC_Os01g20050.1
